HMDB	Compound.Name	Pipe.ID	Tau.Method	Z.Transformation	HAKN.Adjustment	N.Datasets	N.Healthy.Datasets	N.Disease.Datasets	Overall.Predictability.rho	Overall.Lower.Predictability.rho	Overall.Upper.Predictability.rho	Overall.Pval.rho	Overall.Lower.pred.interval	Overall.Upper.pred.interval	Overall.Q	Overall.Pval.Q	Overall.I2	Overall.Lower.I2	Overall.Upper.I2	Healthy.rho	Healthy.rho.lower.ci	Healthy.rho.upper.ci	Healthy.Pval	Healthy.I2	Disease.rho	Disease.rho.lower.ci	Disease.rho.upper.ci	Disease.Pval	Disease.I2	Between.Subgroups.Q	Between.Subgroups.Pval	Overall.FDR.rho	Healthy.FDR	Disease.FDR	Between.Subgroups.FDR
HMDB0003229	Palmitoleic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.195859271913502	0.0820406575713218	0.304634687960832	0.000817195929954707	-0.119520483216312	0.51636645638399	12.0274269807806	0.0613597316969169	0.501140184880125	0	0.788552996985658	0.160251440301906	-0.046	0.354	0.127992405591078	0.61	0.218580639944827	0.071	0.357	0.00391762066121879	0.52	0.212826244801989	0.644561183588076	0.00127271181045794	0.152207185027228	0.00718230454556779	0.971071157456726
HMDB0000220	Palmitic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.253588090445518	0.123783816228737	0.374859903962465	0.000164074181155467	-0.143205214665017	0.661692799978338	16.1174547336111	0.0131372340084147	0.62773278416674	0.154501486408241	0.836093289631541	0.283456544206184	0.059	0.481	0.0140317150712006	0.69	0.212132789751021	0.06	0.354	0.00643620935378663	0.54	0.284420010689095	0.593818711512831	0.000300802665451689	0.0243069079973553	0.0112378258558179	0.971071157456726
HMDB0000872	Tetradecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.108841369601144	-0.10062088109342	0.309064724768618	0.308333278237354	-0.592992118754497	0.811540608753899	32.3107479737171	0.0000142250486241352	0.814303277507514	0.6264969335551	0.907676065225723	0.0470276349994846	-0.192	0.28	0.702048585160316	0.7	0.182735800542887	-0.163	0.488	0.299500758342129	0.86	0.404885864807487	0.524576718905597	0.321484934655062	0.721732190351727	0.336174320588104	0.971071157456726
HMDB0031057	2-Hydroxyhexadecanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.312905775370951	0.176670037221748	0.437377501012085	0.0000124430455628615	-0.123920201487621	0.771446873788303	18.7065712982068	0.00468898542076123	0.679257096110651	0.289047929772757	0.85529824765474	0.217034220092368	0.022	0.396	0.0291386120072189	0.58	0.407225304244062	0.236	0.554	0.00000972029910987218	0.7	2.2677191947824	0.132094177737589	0.0000273747002382953	0.0430234539703903	0.0000334135281901856	0.971071157456726
HMDB0001388	alpha-Linolenic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.152854277296159	0.0477005516817675	0.254657117227726	0.00451233658232375	-0.116204810506143	0.424328211545922	10.1490440553792	0.118514151707131	0.408811315897293	0	0.751488708677439	0.243861193240697	0.057	0.414	0.0110030435855848	0.55	0.0822535169660316	-0.02	0.183	0.115254217205495	0	2.2483249614928	0.133759121370291	0.00616592576466599	0.0195215289421666	0.14786294609685	0.971071157456726
HMDB0000673	Linoleic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.21413723438406	0.137905037282314	0.287847270768816	0.0000000610182227917244	0.11426636397876	0.320740465669635	4.34534585993784	0.630050059624331	0	0	0.596929697781886	0.236804632213086	0.105	0.36	0.000507335184617693	0.15	0.196630543555119	0.096	0.293	0.00014112331618376	0	0.235132823519218	0.627743761447142	0.000000216516274422248	0.00146860185020911	0.000361013134423573	0.971071157456726
HMDB0000207	Oleic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.187788368502607	0.102906706416926	0.269954848445574	0.0000176557898309299	0.0276666356799882	0.352420771256043	7.03845224969393	0.317305800330361	0.147539858601596	0	0.584542427660118	0.22350053139626	0.104	0.336	0.000283101185201068	0	0.165781035726455	0.023	0.302	0.022692780938065	0.47	0.386666491361303	0.534056860657226	0.0000373487861808132	0.000902641460061376	0.0354071759317326	0.971071157456726
HMDB0000827	Stearic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.360609049699197	0.215914763958903	0.489805573494738	0.00000290513173004382	-0.125344875041656	0.880516501084955	22.2468736677431	0.00109224257500313	0.730299183174681	0.419928785947979	0.874604136812552	0.345011673387989	0.182	0.489	0.0000571974218269773	0.46	0.390028003651324	0.11	0.612	0.00733685017539871	0.88	0.0858117927746636	0.769570689366182	0.00000726282932510955	0.000229394019950677	0.0125124576634707	0.971071157456726
HMDB0000672	Hexadecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.0543538350134085	-0.114528910604111	0.220183124667217	0.529124194363076	-0.522886559055416	0.631701472363191	41.5064232692658	0.00000167587681855344	0.807258747685837	0.643124963062614	0.895904205958374	-0.00122577847001563	-0.107	0.105	0.981941055113453	0	0.113283388712791	-0.217	0.42	0.504976798554516	0.91	0.412548691119343	0.520678716920493	0.538819312343032	0.984962137325717	0.536690317304317	0.971071157456726
HMDB0001999	Eicosapentaenoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.313564284091801	0.191656112640687	0.425943926856145	0.00000108335452804678	-0.0841902788043686	0.733177247313775	24.3529634679565	0.00199931639839634	0.67149788523576	0.33684247054784	0.837272993803258	0.381157748584275	0.24	0.506	0.000000498882024524149	0.51	0.2292836061732	0.011	0.426	0.0394210906127751	0.79	1.46807879092795	0.225649061992226	0.00000287154212253363	0.00000304872348320313	0.0559525157084549	0.971071157456726
HMDB0002925	Dihomo-gamma-linolenic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.597076519881204	0.522351718917071	0.66270126451359	0.0000000000000000000000000000000000338907964858669	0.405017136598275	0.972166256952521	10.6422294350428	0.100083385713735	0.436208358725744	0	0.762869560446334	0.549343225113884	0.375	0.686	0.0000000562415899836874	0.66	0.625206544981561	0.559	0.684	0.0000000000000000000000000000000000000000000128635175916827	0	0.859830447530834	0.353786143975522	0.00000000000000000000000000000000124266253781512	0.000000441898207014687	0.00000000000000000000000000000000000000000282997387017019	0.971071157456726
HMDB0002231	11Z-Eicosenoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.197419394412336	0.0758562907177475	0.313199911743595	0.00157311369191924	-0.154176279779751	0.554268002183844	13.6641162085474	0.0336216922479725	0.560893664220538	0	0.811207642388515	0.258936897544555	0.1	0.405	0.001601558983602	0.4	0.136982254691571	-0.042	0.307	0.132446457146121	0.66	1.04624099705796	0.306374410154358	0.00230723341481488	0.00378863415475742	0.163697868382846	0.971071157456726
HMDB0004705	12,13-DHOME	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.338883052907552	0.245154020845866	0.426335748136833	0.0000000000156832730285826	0.101467143015402	0.604193111034155	9.48990496666975	0.147842551663539	0.367749200748261	0	0.733538756031578	0.385107545212457	0.26	0.497	0.0000000113650934327712	0.19	0.296590733172407	0.148	0.432	0.000136775122811875	0.56	0.875224240747339	0.349513066415787	0.000000000104555153523884	0.000000108709589356942	0.00035400620021897	0.971071157456726
HMDB0004704	9,10-DHOME	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.296394434998858	0.194391625491435	0.392055880407589	0.0000000356080945059142	0.0237414234996865	0.587382832943797	10.5758543714552	0.102403553735163	0.432669948993025	0	0.761421738694862	0.322473570954703	0.142	0.482	0.000605808181529706	0.54	0.272651292244472	0.137	0.398	0.000105838305230612	0.45	0.20315832721755	0.652183522560159	0.000000132775945615273	0.0017308805186563	0.000287462063589318	0.971071157456726
HMDB0002183	Docosahexaenoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.325157180388383	0.190027629489454	0.448196171375513	0.00000512754761279587	-0.135674403728837	0.810480957899955	30.2070660338302	0.000194281788296052	0.735161303284455	0.483596110761506	0.864176980964612	0.344056965440771	0.116	0.538	0.0037574214763417	0.79	0.301025195045547	0.119	0.464	0.00147515140288587	0.71	0.092810700867987	0.760633886687225	0.000012261526900164	0.00779842193202995	0.00300493804291567	0.971071157456726
HMDB0002068	Erucic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.0574535169081952	-0.0817459559291762	0.194454403438494	0.418847474187868	-0.365180394841345	0.480214112117008	17.2419529136304	0.00843397892871288	0.652011577223554	0.218117018100576	0.845122677958458	0.0636242888123374	-0.179	0.299	0.609219853252022	0.72	0.0472375081028079	-0.136	0.227	0.614643780810209	0.68	0.0110965132420804	0.916106032992183	0.430590861314631	0.635205534196421	0.641764230390441	0.989421412154653
HMDB0002100	Palmitoylethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.449843325783369	0.373213742853208	0.520376504742088	0.000000000000000000000000845100899313469	0.259808816906901	0.70919886161285	12.376675652515	0.13517218909009	0.353622877046603	0	0.702481235209015	0.432964259847298	0.33	0.526	0.0000000000000609015167883819	0.2	0.460139063341038	0.332	0.572	0.00000000018120769634087	0.55	0.11640739684993	0.732964102313594	0.0000000000000000000000128902519442867	0.000000000001488703743716	0.00000000153329589211505	0.971071157456726
HMDB0000761	Lithocholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.427157313047081	0.26930401562082	0.562658992869494	0.000000699672067553848	-0.0853165519887017	0.998145267605533	13.2941890878845	0.0207724684256924	0.623895826443697	0.0852248091468857	0.845367090427376	0.308429866599351	0.119	0.476	0.00169001340300749	0	0.501085354720386	0.313	0.652	0.00000205007172066352	0.69	2.26403702478036	0.132408493818607	0.00000190034388718329	0.0038919332804894	0.00000867338035665334	0.971071157456726
HMDB0000518	Chenodeoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.430203941635664	0.249805765449269	0.581739614614979	0.0000107935436393967	-0.203577316796041	1.12387114194729	26.2172293404036	0.000202822472798769	0.771142864789554	0.522024137384958	0.8904221061495	0.335893340533304	0.105	0.533	0.00508400705916102	0.58	0.532330789007674	0.292	0.709	0.0000697397677354301	0.81	1.57342513342848	0.209710297726492	0.0000244802020687348	0.0100341171873134	0.000199256479244086	0.971071157456726
HMDB0000626	Deoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.33521073056324	0.223733449889087	0.438030793785035	0.0000000166930242650679	-0.0509101620577421	0.748284468672965	32.5056304204058	0.00063246142454781	0.661597087712699	0.377080926257606	0.81616146322743	0.230180277778668	0.058	0.389	0.00925771612724958	0.62	0.428109006311551	0.318	0.526	0.00000000000212454489800902	0.46	4.03291909038107	0.0446206717556425	0.0000000667720970602717	0.0168322111404538	0.0000000000245999935558939	0.971071157456726
HMDB0000391	7-Ketodeoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.51852240036913	0.454195195861905	0.577471014086638	0.000000000000000000000000000000000000000125127648877523	0.454837490024549	0.693795837893219	2.42719968204878	0.787416786733181	0	0	0.477270746498011	0.479243173238847	0.357	0.585	0.00000000000500520682065926	0	0.536622022973553	0.46	0.606	0.00000000000000000000000000000231088395257583	0	0.708592917188591	0.399911325384876	0.00000000000000000000000000000000000000917602758435171	0.0000000000786532500389313	0.000000000000000000000000000101678893913337	0.971071157456726
HMDB0000631	Deoxycholic acid glycine conjugate	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.152185343037296	0.0273423402905187	0.272353853570769	0.0170654737480752	-0.221576098370262	0.528329767737571	20.3407773556621	0.00912086735094148	0.606701363467159	0.183809744746398	0.810480685718884	0.00182114170197155	-0.185	0.189	0.984962137325717	0.56	0.292226054378353	0.202	0.378	0.000000000953467296692539	0	7.61310886424461	0.00579454960771048	0.0210921585650368	0.984962137325717	0.00000000699209350907862	0.637400456848152
HMDB0000619	Cholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.450697236809874	0.328367896411347	0.558156873180306	0.0000000000461945836277251	-0.00871293562676656	0.979862737720694	42.2964426607749	0.00000664048753718505	0.763573497653176	0.575971355433027	0.868175200595147	0.416983058488283	0.254	0.557	0.00000242579813342752	0.63	0.48325542527402	0.281	0.644	0.0000146510283037025	0.85	0.292356440688028	0.588714409931737	0.000000000267442326265777	0.0000130164777891233	0.000049588095797147	0.971071157456726
HMDB0001043	Arachidonic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.456216985716144	0.337858584115295	0.560370933373422	0.00000000000720257238614613	0.0637191333238959	0.921327816496177	17.5920779152801	0.00733672238519566	0.658937390517777	0.236201198189855	0.847703736492981	0.390000987208517	0.121	0.606	0.00547304138895697	0.8	0.508592872720028	0.429	0.581	0.00000000000000000000000000868957370937935	0	0.898546709286627	0.343171690882957	0.0000000000511150298371661	0.0105620096979871	0.000000000000000000000000238963277007932	0.971071157456726
HMDB0029377	Piperine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	-0.0412299220271666	-0.157402789360722	0.0760685305445058	0.49125832780023	-0.372192698649638	0.289686082206666	15.2330603925403	0.0331252904497881	0.54047316693972	0	0.792736267636126	-0.122065080587884	-0.284	0.046	0.155047649174578	0.44	0.0300401108624595	-0.113	0.172	0.681443554348723	0.49	1.82200067907715	0.177075314901061	0.502682940074655	0.180478745070937	0.707158405456222	0.971071157456726
HMDB0012252	Linoleoyl ethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.544280109692887	0.465650297995515	0.614383712456516	0.0000000000000000000000000000112607654579636	0.342990718667435	0.877444068530361	10.0397704936567	0.122987158132871	0.402376777059706	0	0.748753604622707	0.493111163211563	0.395	0.58	0.00000000000000000636975622	0	0.581217085048086	0.443	0.693	0.00000000000541534276853792	0.69	1.16687639368777	0.280043988267532	0.000000000000000000000000000225215309159272	0.0000000000000003503365921	0.0000000000595687704539172	0.971071157456726
HMDB0013078	Stearoylethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.434546755643466	0.285249125674292	0.563256185546711	0.000000115057436092094	-0.100165079066681	1.03114169568855	20.3392069760142	0.0010791634393529	0.754169373176819	0.445116803785018	0.89108933646485	0.462679581996322	0.255	0.629	0.0000422035797314321	0.71	0.394199087383594	0.115	0.616	0.00669016752465721	0.85	0.182746241651767	0.66902370942063	0.000000383524786973648	0.000189485460018675	0.0114987254330046	0.971071157456726
HMDB0011564	(2S)-1-O-Hexadecanoylglycerol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.311228971952262	0.207653243513163	0.407903469965816	0.0000000139189897787614	0.0306759041374141	0.613135328059918	8.53302454462563	0.12920366292732	0.414041296394822	0	0.767923654068461	0.279842164287468	0.159	0.392	0.00000918584608780964	0	0.319084739644898	0.13	0.486	0.00117013358475691	0.66	0.127542171925603	0.720994135494789	0.0000000567069953949538	0.0000439323073764809	0.00247528258313962	0.971071157456726
HMDB0000067	Cholesterol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.420904091908	0.336255301823386	0.498806520130675	0.000000000000000000602146080074915	0.208633722324283	0.688946801887188	10.9682876592563	0.140008292224624	0.361796461082727	0	0.717915966343974	0.465085073252947	0.365	0.555	0.000000000000000399142215202637	0	0.36716309756192	0.224	0.495	0.00000161171297760337	0.57	1.3694910023498	0.241899355783744	0.00000000000000000662360688082407	0.000000000000017562257468916	0.00000695248735436746	0.971071157456726
HMDB0000852	beta-Sitosterol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.454320723140745	0.386558840939326	0.517203793300707	0.000000000000000000000000000000202619103307088	0.373428715353938	0.606834100156773	2.88418577481951	0.717835329253823	0	0	0.560094814635502	0.421447897401617	0.312	0.52	0.00000000000409691040724807	0	0.477429269039797	0.39	0.557	0.00000000000000000000490278297053511	0	0.679646352993752	0.409708527783259	0.00000000000000000000000000000557202534094492	0.0000000000693323299688136	0.0000000000000000000898843544598103	0.971071157456726
HMDB0000252	Sphingosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.262336492408056	0.180360663188639	0.340693087799052	0.00000000103870737361834	0.078272559710069	0.458959313237839	10.919811174084	0.206284341364586	0.267386599231094	0	0.658059582183571	0.247163815731851	0.124	0.363	0.000114077529479867	0.28	0.271460169287699	0.145	0.389	0.0000370444649672697	0.41	0.0768104765605275	0.781667210444863	0.00000000466358412644967	0.000411427155501159	0.000114785666095765	0.971071157456726
HMDB0000660	D-Fructose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.240390697305979	0.068210694212046	0.398665025619223	0.00658766220940359	-0.344079474260449	0.834456936009587	29.8830925319931	0.0000413718909176011	0.799217567807738	0.590435387133822	0.901569657605618	0.337297628626466	0.113	0.529	0.00370870841677068	0.78	0.106745176668546	-0.146	0.346	0.408404012528914	0.79	1.89228677895051	0.168944221004726	0.00862670051231423	0.00777062715894809	0.440435699786084	0.971071157456726
HMDB0000134	Fumaric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.19376909786984	0.0814949988384894	0.30118705672378	0.000787484175100957	-0.191103469648909	0.583604178982439	36.3304545974944	0.000149098876354917	0.697223717075133	0.451550052421604	0.832849874621066	0.171446218583849	-0.034	0.363	0.101927820528723	0.77	0.216827350914003	0.083	0.343	0.00160223643449463	0.64	0.138332286011705	0.709944606654351	0.0012374751323015	0.126444485770522	0.00320447286898926	0.971071157456726
HMDB0000122	D-Glucose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	7	5	0.408660040048649	0.298862318323317	0.507779490256795	0.0000000000132924907397057	0.00775192573773509	0.860251199211836	36.4789619910324	0.000140832626068386	0.698456332098919	0.454106188918015	0.833431737445397	0.461687149255141	0.3	0.597	0.000000242697649759008	0.73	0.343316778026033	0.192	0.479	0.0000179307008891108	0.65	1.22886390552359	0.267628095205836	0.0000000000913858738354766	0.00000155660730864819	0.0000588769282926026	0.971071157456726
HMDB0000237	Propionic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.159436223082221	0.0443271097328668	0.270367391101937	0.00679949846799522	-0.205303073677141	0.526919395344334	27.6217299188483	0.00207475034599757	0.637966194391892	0.307984355201816	0.810598969274295	0.116717276111265	-0.033	0.262	0.126686087801144	0.48	0.200554635942215	0.026	0.363	0.0246491267653967	0.73	0.525944696274817	0.468316801098465	0.00879935095858205	0.151472496283976	0.0379217334852257	0.971071157456726
HMDB0002329	Oxalic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.278179037366468	0.107953570512031	0.432557589792675	0.00158967953000631	-0.296565780772078	0.867980363783301	28.0581740511269	0.000091621756050786	0.786158572219741	0.558813140349143	0.896351953294149	0.252247351587801	0.133	0.364	0.0000436467561509912	0.01	0.289513346633011	-0.069	0.582	0.111329861219389	0.92	0.0414698969130898	0.838633590478539	0.00231608938146614	0.000192045727064361	0.144073938048621	0.97131239689987
