HMDB	Compound.Name	Pipe.ID	Tau.Method	Z.Transformation	HAKN.Adjustment	N.Datasets	Predictability.rho	Lower.Predictability.rho	Upper.Predictability.rho	Pval.rho	Lower.pred.interval	Upper.pred.interval	Q	Pval.Q	I2	Lower.I2	Upper.I2	FDR.rho
HMDB0002261	2-Hydroxymyristic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.166513303942624	0.0140881319631115	0.311375341014815	0.0324123109211384	-0.830215347847942	1.16637210372845	0.788412794504191	0.674214885778991	0	0	0.736127913001942	0.0502759140992658
HMDB0003229	Palmitoleic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.160251440301906	-0.0464715800712961	0.353812023336526	0.127992405591078	-0.67800578587134	1.00129529202855	7.78116756674067	0.0507575780824988	0.614453746912866	0	0.870781177826428	0.16252058942495
HMDB0000220	Palmitic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.283456544206184	0.0588357988284085	0.480757804777198	0.0140317150712006	-0.686096077666953	1.26896932461938	9.6964131472129	0.0213310940130267	0.690607242652165	0.106318666663622	0.892888130557756	0.0258828257732281
HMDB0000872	Tetradecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.0470276349994846	-0.19165398352417	0.28045731383848	0.702048585160316	-0.973618983995627	1.06774368364478	10.0430862829659	0.0182034145544337	0.701287043098662	0.142499152751518	0.895942457774757	0.737151014418332
HMDB0031057	2-Hydroxyhexadecanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.217034220092368	0.0224023677289882	0.395815377766205	0.0291386120072189	-0.561106093098238	1.002189312876	7.06399280501219	0.0698858335498602	0.57531100571459	0	0.858966310544052	0.0462490760347136
HMDB0001388	alpha-Linolenic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.243861193240697	0.0569681268765429	0.414241771374589	0.0110030435855848	-0.495818133267507	0.993568853194448	6.63441983821978	0.0845094188448393	0.547812759343703	0	0.850366767039067	0.0207160751645838
HMDB0000673	Linoleic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.236804632213086	0.10492489562675	0.360499475432697	0.000507335184617693	-0.140314672069105	0.623087044562241	3.54403487141139	0.315095694252083	0.153507200451086	0	0.870383635353402	0.00153891672667367
HMDB0000207	Oleic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.22350053139626	0.104220154492411	0.33644239808313	0.000283101185201068	-0.0421048860638616	0.496780245030726	2.60392174883365	0.456802428438301	0	0	0.823587280831739	0.000942519799510873
HMDB0000827	Stearic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.345011673387989	0.182474422633145	0.489193380768158	0.0000571974218269773	-0.284832756832497	1.00437331441961	5.57780585374664	0.134058323633748	0.46215410169128	0	0.821162711017797	0.000237623550115475
HMDB0000672	Hexadecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	-0.00122577847001563	-0.106953145995745	0.104529000382528	0.981941055113453	-0.173564908763793	0.171113350595913	2.41173066666644	0.660508385114803	0	0	0.655078795116757	0.984962137325717
HMDB0001999	Eicosapentaenoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.381157748584275	0.240118069480155	0.506438161402182	0.000000498882024524149	-0.0710808886975326	0.873907867411132	8.10470341980905	0.0878172006910682	0.506459423274709	0	0.818921221294047	0.00000358407349197612
HMDB0002925	Dihomo-gamma-linolenic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.549343225113884	0.3753097447539	0.685963279003198	0.0000000562415899836874	-0.305834032085629	1.54071440799211	8.90740432768551	0.0305476686600775	0.663201546754135	0.0134672683315938	0.885018312654492	0.000000529446691915402
HMDB0002231	11Z-Eicosenoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.258936897544555	0.100060068905877	0.40493773440559	0.001601558983602	-0.312946753603942	0.842883885120015	4.96041504928965	0.174718803304461	0.395211898562881	0	0.794360416188402	0.00397477820475769
HMDB0004705	12,13-DHOME	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.385107545212457	0.26049878731074	0.49709648581364	0.0000000113650934327712	-0.000677873067176316	0.812763556396133	3.69156155926026	0.296753789848481	0.187335778683003	0	0.87556352268844	0.000000129277937797772
HMDB0004704	9,10-DHOME	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.322473570954703	0.14229220828486	0.48196925881715	0.000605808181529706	-0.406120697819205	1.07493131554279	6.58731060028006	0.0862820604009215	0.544578936376181	0	0.849335702235566	0.00181742454458912
HMDB0002183	Docosahexaenoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.344056965440771	0.115569135025063	0.537964121351351	0.0037574214763417	-0.508543599140581	1.22591755671469	19.4423967835824	0.000643251064376908	0.794264048587996	0.512238530555449	0.9132213502809	0.00820620850433028
HMDB0002121	Carnosol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.157176432742613	-0.0892115408742022	0.385437158541848	0.210254311142466	-2.44932357891853	2.76630414146549	4.44426871960731	0.108377545116813	0.549982207156746	0	0.871410543968545	0.253979765229617
HMDB0002226	Adrenic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.516788370744708	0.410091287209428	0.609531015212451	0.000000000000000188945229673806	0.27289283789147	0.871002913114658	1.46298192479851	0.690840052319939	0	0	0.68600779789102	0.0000000000000103164095401898
HMDB0002068	Erucic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.0636242888123374	-0.178626974658633	0.298602638318374	0.609219853252022	-0.97890599994515	1.10632669869018	10.7032857436444	0.0134434412605165	0.719712238666394	0.204788946566947	0.901207070985441	0.652223607599224
HMDB0002100	Palmitoylethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.432964259847298	0.329709241111606	0.525983514304961	0.0000000000000609015167883819	0.18449186112538	0.742586290081102	5.0152175159969	0.285739644062513	0.202427414715053	0	0.659219822887162	0.00000000000166261140832283
HMDB0000761	Lithocholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.308429866599351	0.11923515961873	0.47601067951808	0.00169001340300749	-0.971310348164816	1.6089289022907	1.0866182984875	0.580823038602031	0	0	0.80854350622351	0.00410934151517702
HMDB0000518	Chenodeoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.335893340533304	0.104602504796323	0.532713502024491	0.00508400705916102	-0.619636283153251	1.31854903082921	7.20265774423213	0.0657113598625621	0.583487081223262	0	0.861471181802667	0.0106591763468124
HMDB0000626	Deoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.230180277778668	0.0577943633668156	0.389237275041103	0.00925771612724958	-0.297070646717532	0.765830291193343	13.1696992714298	0.0218393530982068	0.620340609383014	0.0752476280103277	0.844129891147475	0.0179245142038237
HMDB0000391	7-Ketodeoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.479243173238847	0.357347679360686	0.585085574200427	0.00000000000500520682065926	-0.43849745691266	1.48250013390959	1.13945577132039	0.56567934722034	0	0	0.817421496526612	0.0000000000910947641359986
HMDB0000506	alpha-Muricholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.346237633971894	-0.0938596668594343	0.673139535653426	0.120011379443044	-5.20569102466506	5.92801613682647	14.9123699044798	0.000577856521826945	0.865883155205318	0.614468624814079	0.953344061688867	0.153817401821366
HMDB0000631	Deoxycholic acid glycine conjugate	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.00182114170197155	-0.185384320615005	0.188899043527935	0.984962137325717	-0.585120077309049	0.588762364739614	9.02487417579998	0.0604807431400377	0.556780524350586	0	0.836138423345366	0.984962137325717
HMDB0000708	Glycoursodeoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.267233378639415	-0.105946918397717	0.574430368636567	0.158014307306985	-4.25520250701508	4.80296660532589	10.3675752929111	0.00560672983537279	0.807090863244803	0.394967828892842	0.938492634242016	0.19344352419196
HMDB0000619	Cholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.416983058488283	0.25375908604802	0.557116756272164	0.00000242579813342752	-0.115909201091554	1.00397823968471	13.6504381042465	0.0179891820591088	0.633711389933738	0.112762954027233	0.848780721597155	0.000014716508676127
HMDB0002392	Maslinic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.14749289636917	-0.0155703361856233	0.302913920105319	0.0760572166912289	-1.02548606428686	1.32263927384671	2.14258592876372	0.342565306212907	0.0665485229084792	0	0.90290231691112	0.102790198795572
HMDB0000722	Lithocholyltaurine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.338375201142777	0.149420359772609	0.503486360687876	0.000619790816139144	-1.51445005008887	2.21896304469126	3.02859787456195	0.219962338200765	0.339628407984248	0	0.783561235982554	0.00181938594415039
HMDB0000951	Taurochenodesoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.408369621336915	0.202093530269633	0.579952856414009	0.000202572475525839	-0.494799964260154	1.36210590215763	7.85558260994235	0.0490925992789109	0.618105982845489	0	0.871863176314045	0.000709003664340437
HMDB0000896	Taurodeoxycholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.349807427254684	0.135839012156273	0.532597839868154	0.00173521792842855	-1.93985696232355	2.67030559232936	3.80738144400784	0.149017620445678	0.474704589121835	0	0.846171171809827	0.00411925647357387
HMDB0002364	Oleanolic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.223173448821652	-0.17509499630177	0.558674974752214	0.270689354354524	-4.63198760580449	5.08597445726576	11.7102980108978	0.00286510865250529	0.829210153478694	0.479315637209808	0.943979167112946	0.321296494516456
HMDB0001043	Arachidonic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.390000987208517	0.120650041325681	0.605864751682471	0.00547304138895697	-0.881639817696701	1.70524221525171	15.1994883721802	0.00165386934209325	0.802624935356974	0.479144940397095	0.925205841002026	0.011234137587859
HMDB0029377	Piperine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	-0.122065080587884	-0.283765743114358	0.0463859352009362	0.155047649174578	-0.733628847607117	0.48827522632904	5.31894833560185	0.149877576995447	0.435978729118348	0	0.811214093077951	0.190666703714684
HMDB0012252	Linoleoyl ethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.493111163211563	0.394758967628459	0.58029042541191	0.00000000000000000636975622	0.270720198609913	0.809605329704501	0.165251489235903	0.982993754790944	0	0	0	0.000000000000000434735862015
HMDB0013078	Stearoylethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.462679581996322	0.255291767471509	0.62936585496007	0.0000422035797314321	-2.24152782577675	3.24295859031685	6.86874935647323	0.0322455677840901	0.708826178361689	0.00895760348290948	0.91445149601529	0.000195280970621711
HMDB0011564	(2S)-1-O-Hexadecanoylglycerol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.279842164287468	0.159101984116302	0.392334617948636	0.00000918584608780964	-0.536110104266999	1.11113174017392	1.55840241131166	0.458772329721449	0	0	0.866504230234929	0.0000491712937641575
HMDB0002088	Oleoylethanolamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.328920666352254	-0.0402106460336357	0.619052459823772	0.0795232695430469	-4.38061807609797	5.06385307684066	17.0308670340101	0.000200352244709343	0.882566166713294	0.673400851426779	0.957774828070876	0.106945086626856
HMDB0000067	Cholesterol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.465085073252947	0.36484341229628	0.554668379329959	0.000000000000000399142215202637	0.237452917806583	0.770107953612744	2.78833513899742	0.425423762482984	0	0	0.835254769131415	0.00000000000001816097079172
HMDB0000852	beta-Sitosterol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.421447897401617	0.311680581347608	0.520114665587151	0.00000000000409691040724807	-0.374169587422542	1.27307225701837	0.607643217954887	0.737992505946365	0	0	0.657627826075338	0.0000000000798897529413375
HMDB0000252	Sphingosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.247163815731851	0.123551907395237	0.363222557387105	0.000114077529479867	-0.0697268671187926	0.574506518679611	5.56321588568367	0.234228383448969	0.280991411767146	0	0.71834847802653	0.000432543965944495
HMDB0000660	D-Fructose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.337297628626466	0.113456977269111	0.528551215870564	0.00370870841677068	-0.703528383316282	1.40560856749947	13.6765611824073	0.0033801609978908	0.78064661430689	0.407813994400842	0.918748657752647	0.00816514030466448
HMDB0000134	Fumaric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.171446218583849	-0.0343287138849639	0.363275996264538	0.101927820528723	-0.514393125672801	0.860705725439576	21.5006690101423	0.000651293556889457	0.767449096693624	0.480573973020981	0.89588522750171	0.135029778980509
HMDB0000143	D-Galactose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.320482021549955	0.0394927568929857	0.554499394559533	0.0261096181760351	-1.00774942950756	1.67211785467833	18.73271948158	0.000310486718563947	0.839852403547177	0.596490982083184	0.936439456094378	0.0421770755151335
HMDB0000122	D-Glucose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.461687149255141	0.300311047050598	0.597368322683385	0.000000242697649759008	-0.1019620932061	1.10086882430667	22.0190057199399	0.00120130834956135	0.727508132005863	0.412856587871725	0.873537168962202	0.00000187795237804716
HMDB0000237	Propionic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.116717276111265	-0.0332035065580529	0.261501123180246	0.126686087801144	-0.293643182472801	0.528146504527538	9.55649436993746	0.0888224985387886	0.476795589842144	0	0.792635681853086	0.161613560606132
HMDB0002329	Oxalic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.252247351587801	0.133384011562395	0.363956737918844	0.0000436467561509912	-0.0199983010045092	0.535621158971525	3.0339365040335	0.386422373185251	0.0111856342373638	0	0.84859112390704	0.00019859274048701
HMDB0000190	L-Lactic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	0.158801292110218	-0.0151074382942426	0.323384292876074	0.0732921600192396	-0.406533987006886	0.726847460147823	28.2562330574219	0.000197579365985773	0.75226704898085	0.501561370904754	0.876872273860361	0.100043798426262
HMDB0000452	L-alpha-Aminobutyric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.275917891892672	0.0847508762601757	0.447493411589245	0.00511616989951776	-0.386373704485707	0.952890023330097	13.005442020215	0.0112492338596624	0.6924364436224	0.211401679699325	0.880046230410978	0.0106591763468124
HMDB0000691	Malonic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.353882532167727	0.0810594054369872	0.57737278434342	0.0120185231301278	-0.917902668445055	1.65765303599833	15.9203596681744	0.00117742310641143	0.811562046176812	0.507751667926172	0.927863925325105	0.0224729918803075
HMDB0000008	2-Hydroxybutyric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.254968495445727	0.00506338253708541	0.47489801899828	0.0456319182052903	-0.901164479330811	1.42260372187335	17.5027571059198	0.000556912830349392	0.828598432701478	0.561545317892848	0.932995361958046	0.067337911729969
HMDB0000187	L-Serine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.202995806414369	-0.0337710385650122	0.418188182659031	0.0922489939703721	-0.615912166146288	1.02762245568521	30.1213853451768	0.000013958974671547	0.834004978765008	0.65237010146138	0.920736544265498	0.123450859577998
HMDB0000139	Glyceric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.289740349422131	0.0458419916279094	0.501038255720262	0.020548514728212	-0.611585192977579	1.2081507823353	21.0714045786656	0.000306511428484898	0.810169275376643	0.557290258955346	0.918601962708126	0.0348431336695769
HMDB0000300	Uracil	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.282005054949489	0.123374420258163	0.426582840180218	0.00061388286304775	-0.209759542783265	0.789477594570611	16.8069672143029	0.0100194721221448	0.643005194007046	0.194554585907306	0.841770417614818	0.00181938594415039
HMDB0000162	L-Proline	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	0.225072972888563	0.0295674447421643	0.40399230176286	0.0244076537367019	-0.449185607123057	0.907172431678366	39.9944818627021	0.00000126185514394124	0.824975854818411	0.668101124832438	0.907702454908651	0.0399154762666114
HMDB0000019	alpha-Ketoisovaleric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.127047886252668	-0.262460893389341	0.480954934963492	0.527746291076689	-4.64452715117408	4.90000345251925	12.0061696970023	0.00247111738387363	0.833418979535216	0.495154860440386	0.945034161558345	0.574002938103331
HMDB0000535	Caproic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.323519023824964	0.171554448390016	0.460446096260368	0.0000507130414242074	-0.175396202059548	0.846541271237403	9.42812972132558	0.0512451548095096	0.57573770002842	0	0.842429994881312	0.000219756512838232
HMDB0000883	L-Valine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	0.222223561252449	-0.00552332290840272	0.428053699436716	0.0557218733207278	-0.593326861025309	1.04531480194973	63.1357649541849	0.000000000112644982683376	0.873288935268223	0.780415208331617	0.926881575889336	0.0796443529662759
HMDB0000254	Succinic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	0.217452936434665	0.0357232450551481	0.385261552902076	0.0193822917729458	-0.387529237657778	0.829491370224464	31.643112000074	0.0000472931122906418	0.778782820097352	0.563442969267272	0.887902296288887	0.0332790292705296
HMDB0000167	L-Threonine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.264033080949097	0.103447678293176	0.411203272093978	0.00146667357596319	-0.259291185008664	0.800168760232914	21.5827743178574	0.00144069590497609	0.722000521729236	0.398868965589699	0.871436167000376	0.00367341180034816
HMDB0011718	4-Hydroxybenzaldehyde	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.0721425321500873	-0.130133785794751	0.268653580804006	0.485644294148388	-0.732364910972854	0.876901072549584	7.14805867056821	0.0673254112635006	0.580305627267392	0	0.860499068729324	0.538307066089248
HMDB0000262	Thymine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.267813434065393	0.0819825827367686	0.435647940015985	0.00515388746439279	-0.362183001363571	0.911196638535188	28.8688818189617	0.0000644129253828434	0.792163754813009	0.573399447476121	0.898743907953544	0.0106591763468124
HMDB0000766	N-Acetyl-L-alanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.361432832846572	0.253363360277722	0.460592035686531	0.000000000540285307835377	0.109005202666684	0.6480609098605	4.90485935681066	0.29719956178362	0.184482222829532	0	0.830401447445098	0.00000000670444950177536
HMDB0000168	L-Asparagine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.167992209465977	0.0700230886316084	0.262751637698819	0.00083153930337366	-0.0430258058445666	0.382225494832741	7.88664264543833	0.246526379769284	0.239219998959833	0	0.664328934550053	0.00236468989396885
HMDB0000191	L-Aspartic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.273190150733368	0.141000852736198	0.39580895522422	0.0000716577736327081	-0.126435382556831	0.687051454118339	14.8674799204821	0.0213128470066277	0.596434632359305	0.0721832726768427	0.824464249066892	0.000283515539155497
HMDB0000156	Malic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.198576323391221	0.0272040716371255	0.358609439197572	0.0234268061233252	-0.35970116123038	0.762201153681735	23.5705916472723	0.000626255211357666	0.745445507274979	0.458106850386441	0.880422939812577	0.0389970614126085
HMDB0000034	Adenine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.171576939543033	-0.0166303736973581	0.348041753667379	0.0737233908727463	-0.448951899124862	0.795533864529781	20.2736397556657	0.00111024163342411	0.753374329412029	0.442983683114076	0.890803519485727	0.100131769692835
HMDB0000613	Erythronic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.294788931347938	0.13399583448243	0.440458304930525	0.000426038627562789	-0.229673053234904	0.837278880545018	9.41459377895132	0.0515320478096054	0.575127711941964	0	0.842228851752722	0.00132168801505274
HMDB0000157	Hypoxanthine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	0.307661693791499	0.162803656751387	0.43953619216343	0.0000501941561107252	-0.156397542578737	0.792318679293403	21.6393888079197	0.00293056285751587	0.676515817422805	0.319273292507992	0.846278961548068	0.000219756512838232
